ISBN,Book-Title,Book-Author,Year-Of-Publication,Image-URL-L,pagesNumber,Rating
080652121X,Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,Adam Lebor,2000,http://images.amazon.com/images/P/080652121X.01.LZZZZZZZ.jpg,293,3.28
1558746218,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,1998,http://images.amazon.com/images/P/1558746218.01.LZZZZZZZ.jpg,328,4.07
1575663937,More Cunning Than Man: A Social History of Rats and Man,Robert Hendrickson,1999,http://images.amazon.com/images/P/1575663937.01.LZZZZZZZ.jpg,280,3.6
1881320189,Goodbye to the Buttermilk Sky,Julia Oliver,1994,http://images.amazon.com/images/P/1881320189.01.LZZZZZZZ.jpg,191,3.45
1879384493,If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself,J. R. Parrish,2003,http://images.amazon.com/images/P/1879384493.01.LZZZZZZZ.jpg,136,3.41
3442410665,Sturmzeit. Roman.,Charlotte Link,1991,http://images.amazon.com/images/P/3442410665.01.LZZZZZZZ.jpg,531,3.96
038078243X,Miss Zukas and the Raven's Dance,Jo Dereske,1996,http://images.amazon.com/images/P/038078243X.01.LZZZZZZZ.jpg,256,3.85
055321215X,Pride and Prejudice,Jane Austen,1983,http://images.amazon.com/images/P/055321215X.01.LZZZZZZZ.jpg,295,4.26
067176537X,The Therapeutic Touch: How to Use Your Hands to Help or to Heal,Dolores Krieger,1979,http://images.amazon.com/images/P/067176537X.01.LZZZZZZZ.jpg,180,4.15
042518630X,Purity in Death,J.D. Robb,2002,http://images.amazon.com/images/P/042518630X.01.LZZZZZZZ.jpg,355,4.35
042511774X,Breathing Lessons,Anne Tyler,1994,http://images.amazon.com/images/P/042511774X.01.LZZZZZZZ.jpg,338,3.66
1853260053,Tess of the D'Urbervilles (Wordsworth Classics),Thomas Hardy,1997,http://images.amazon.com/images/P/1853260053.01.LZZZZZZZ.jpg,350,3.8
1558531025,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,1991,http://images.amazon.com/images/P/1558531025.01.LZZZZZZZ.jpg,12,4.0
087113375X,Modern Manners: An Etiquette Book for Rude People,P.J. O'Rourke,1990,http://images.amazon.com/images/P/087113375X.01.LZZZZZZZ.jpg,280,3.74
067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,http://images.amazon.com/images/P/067976397X.01.LZZZZZZZ.jpg,437,3.98
8476409419,Estudios sobre el amor,Jose Ortega Y Gaset,2001,http://images.amazon.com/images/P/8476409419.01.LZZZZZZZ.jpg,176,3.88
044651747X,Puerto Vallarta Squeeze,Robert James Waller,1995,http://images.amazon.com/images/P/044651747X.01.LZZZZZZZ.jpg,224,3.39
039575514X,My Antonia,Willa Cather,1995,http://images.amazon.com/images/P/039575514X.01.LZZZZZZZ.jpg,244,3.79
3257233051,Veronika Deschliesst Zu Sterben / Vernika Decides to Die,Paolo Coelho,2002,http://images.amazon.com/images/P/3257233051.01.LZZZZZZZ.jpg,223,3.71
038076654X,Petals on the River,Kathleen E. Woodiwiss,1997,http://images.amazon.com/images/P/038076654X.01.LZZZZZZZ.jpg,554,3.95
051513290X,Summer of Storms,Judith Kelman,2002,http://images.amazon.com/images/P/051513290X.01.LZZZZZZZ.jpg,400,3.34
140003180X,The Kalahari Typing School for Men (No. 1 Ladies' Detective Agency),ALEXANDER MCCALL SMITH,2004,http://images.amazon.com/images/P/140003180X.01.LZZZZZZZ.jpg,191,4.0
155874262X,Chicken Soup for the Soul (Chicken Soup for the Soul),Jack Canfield,1993,http://images.amazon.com/images/P/155874262X.01.LZZZZZZZ.jpg,308,3.96
1558744150,Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1996,http://images.amazon.com/images/P/1558744150.01.LZZZZZZZ.jpg,376,3.97
034543191X,The King of Elfland's Daughter (Del Rey Impact),Edward John Moreton Drax Plunkett Dunsany,1999,http://images.amazon.com/images/P/034543191X.01.LZZZZZZZ.jpg,240,3.84
156971620X,Harlequin Valentine,Neil Gaiman,2002,http://images.amazon.com/images/P/156971620X.01.LZZZZZZZ.jpg,40,3.78
1592571301,Alpha Teach Yourself American Sign Language in 24 Hours (Alpha Teach Yourself in 24 Hours),Trudy Suggs,2003,http://images.amazon.com/images/P/1592571301.01.LZZZZZZZ.jpg,496,3.15
044023722X,A Painted House,John Grisham,2001,http://images.amazon.com/images/P/044023722X.01.LZZZZZZZ.jpg,465,3.7
1573225487,The Romance Reader,Pearl Abraham,1996,http://images.amazon.com/images/P/1573225487.01.LZZZZZZZ.jpg,304,3.5700000000000003
038081840X,Year's Best Fantasy (Year's Best Fantasy),David G. Hartwell,2001,http://images.amazon.com/images/P/038081840X.01.LZZZZZZZ.jpg,512,3.74
