ISBN,0
037321829X,Fiction
055321375X,Fiction
080506155X,Fiction
044011084X,Science fiction
1558702482,House & Home
1583142495,Fiction
1565843436,History
1400034612,Fiction
1586480049,Fiction
1580622119,Psychology
037327288X,Fiction
067100039X,Fiction
1573921270,"Body, Mind & Spirit"
1563891662,Humor
2070428672,Fiction
1564025888,Juvenile Fiction
044840947X,History
1892145243,Biography & Autobiography
1891620754,Social Science
1583141324,Fiction
3404604652,Self-Help
140120287X,Comics & Graphic Novels
044667835X,Health & Fitness
220333228X,"Comic books, strips, etc"
9812462503,English language
039914854X,Fiction
1561633240,France
044041184X,Juvenile Fiction
1560246979,Social Science
038572151X,Fiction
080500548X,Business & Economics
044020352X,Humor
155652241X,Social Science
044022800X,African American families
1886230080,Self-Help
039548829X,Political Science
156686903X,Games & Activities
885180012X,Fiction
1556432038,Religion
081296389X,Language Arts & Disciplines
067178059X,"Detective and mystery stories, American"
037550124X,Biography & Autobiography
1558611584,Fiction
1569470197,Fiction
039458192X,Fiction
159014001X,Juvenile Fiction
1551662965,Fiction
082176926X,Fiction
038000383X,Fiction
1884822355,Cooking
1562921533,Religion
159310166X,Fiction
157064179X,Barney (Fictitious character)
2070388433,"Detective and mystery stories, French"
059043893X,Children's stories
1889140082,Family & Relationships
1858811945,Juvenile Fiction
8401470358,Ica (Peru : Province)
1570621764,Compassion
071267554X,English fiction
1560432845,Psychology
1879045001,Foreign Language Study
1566042860,Computers
006109868X,Fiction
1555835996,Biography & Autobiography
2226133895,Belgian fiction (French)
1887178457,Fiction
1591840201,Biography & Autobiography
1565049365,Fantasy
1555835198,Fiction
1591823544,Comics & Graphic Novels
1896998089,Headache
093077356X,Fiction
185585631X,Crafts & Hobbies
1568582161,History
050551950X,Fiction
078688312X,Education
009975391X,Americans
097291451X,Self-Help
1880448823,Cooking
8420432261,Juvenile Fiction
1932560491,Fiction
051711903X,Americans
1575660792,Fiction
2070362426,"Authors, French"
048623231X,Art
038079280X,Fiction
155143072X,Juvenile Fiction
048628459X,Fiction
1400049520,Political Science
1893956032,Nature
1931484546,Comics & Graphic Novels
1575668394,Fiction
078690724X,Fiction
1890159166,Self-Help
1551662779,Fiction
185029111X,"Names, Personal"
1568581661,Fiction
055337933X,Fiction
038071907X,Juvenile Fiction
055325183X,Fiction
044661260X,Fiction
081956253X,Fiction
055326933X,Fiction
039914434X,Fiction
1570627401,Philosophy
081296800X,Fiction
1560975326,Comics & Graphic Novels
014004826X,Biography & Autobiography
1551665794,Fiction
2070324079,Literary Criticism
2070424324,Fiction
207042149X,Fiction
2070324303,Literary Criticism
8571643164,Brazilian fiction
089608289X,Political Science
1568841507,"Finance, Personal"
1558173633,Fiction
1578561264,Biography & Autobiography
1593100175,Religion
034546219X,Fiction
1400030803,History
1854106252,Architecture
3499226685,Germany
067101417X,Fiction
1403304440,Business & Economics
031286583X,Fiction
3453136411,Biloxi (Miss.)
1562012541,Fiction
1575666685,Fiction
185227025X,Biography & Autobiography
1567184278,Health & Fitness
1858282527,Hindi language
847844422X,Fiction
013121831X,Computers
1556616538,Juvenile Nonfiction
1550544535,Sports & Recreation
1551664593,Fiction
1593080654,Fiction
1879181185,Social Science
006251637X,Health & Fitness
1581172192,Juvenile Fiction
1932270175,True Crime
1582341893,Fiction
1586482033,Transportation
067125619X,Family & Relationships
1879360012,Travel
087951602X,Fiction
156931005X,Comics & Graphic Novels
1400051541,Fiction
1565074157,Christian life
